sku ; nombre ; categoria ; precio ; stock ; vendidos
FOOD-00074 ; Coca-Cola Light Queso 2L ; ALIMENTOS ; 683.07 ; 30 ; 0
HOME-00075 ; Miele Compacto Ventilador ; HOGAR ; 920.43 ; 58 ; 0
ELEC-00076 ; LG Tablet Pro 2021 ; ELECTRONICA ; 615.90 ; 19 ; 0
ROPA-00077 ; Puma Morado Falda Talla XL ; ROPA ; 29.09 ; 84 ; 0
FOOD-00078 ; General Mills Free Cereal 2L ; ALIMENTOS ; 435.32 ; 24 ; 0
HOME-00079 ; Whirlpool Manual Licuadora ; HOGAR ; 95.86 ; 9 ; 0
ELEC-00080 ; HP Auriculares Office 2020 ; ELECTRONICA ; 457.26 ; 72 ; 0
ROPA-00081 ; Calvin Naranja Short Talla XL ; ROPA ; 494.25 ; 13 ; 0
FOOD-00082 ; Campbell Light Refresco 1kg ; ALIMENTOS ; 825.33 ; 0 ; 0
HOME-00083 ; Miele Fijo Lámpara ; HOGAR ; 823.70 ; 89 ; 0
ELEC-00084 ; Dell Smartphone Standard 2024 ; ELECTRONICA ; 676.67 ; 70 ; 0
ROPA-00085 ; Tommy Negro Sudadera Talla XS ; ROPA ; 168.92 ; 40 ; 0
FOOD-00086 ; Unilever Natural Galletas 200g ; ALIMENTOS ; 86.71 ; 47 ; 0
HOME-00087 ; Rowenta XL Ventilador ; HOGAR ; 728.30 ; 83 ; 0
ELEC-00088 ; Sony Router Home 2023 ; ELECTRONICA ; 927.22 ; 63 ; 0
ROPA-00089 ; H&M Amarillo Bufanda Talla L ; ROPA ; 890.06 ; 80 ; 0
FOOD-00090 ; General Mills Natural Cereal 100g ; ALIMENTOS ; 654.20 ; 20 ; 0
HOME-00091 ; Black&Decker Compacto Ventilador ; HOGAR ; 827.17 ; 2 ; 0
ELEC-00092 ; Lenovo Auriculares Gaming 2022 ; ELECTRONICA ; 901.84 ; 93 ; 0
ROPA-00093 ; Adidas Amarillo Camiseta Talla XS ; ROPA ; 277.47 ; 35 ; 0
FOOD-00094 ; Kraft Natural Galletas 100g ; ALIMENTOS ; 707.77 ; 83 ; 0
HOME-00095 ; Philips Automático Batidora ; HOGAR ; 784.88 ; 61 ; 0
ELEC-00096 ; Sony Auriculares Pro 2021 ; ELECTRONICA ; 331.67 ; 38 ; 0
ROPA-00097 ; Adidas Blanco Vestido Talla XL ; ROPA ; 639.80 ; 19 ; 0
FOOD-00098 ; Campbell Integral Jugo 100g ; ALIMENTOS ; 35.04 ; 28 ; 0
HOME-00099 ; Braun Automático Tostadora ; HOGAR ; 952.89 ; 92 ; 0
ELEC-00100 ; Xiaomi Router Office 2020 ; ELECTRONICA ; 233.46 ; 19 ; 0
ROPA-00101 ; H&M Verde Falda Talla XXL ; ROPA ; 985.90 ; 68 ; 0
FOOD-00102 ; Kraft Integral Galletas 500g ; ALIMENTOS ; 75.61 ; 8 ; 0
HOME-00103 ; Miele Digital Mesa ; HOGAR ; 525.86 ; 32 ; 0
ELEC-00104 ; Sony Mouse Premium 2024 ; ELECTRONICA ; 243.54 ; 12 ; 0
ROPA-00105 ; Adidas Blanco Gorra Talla S ; ROPA ; 205.53 ; 79 ; 0
FOOD-00106 ; Kellogg's Integral Yogurt 200g ; ALIMENTOS ; 38.34 ; 29 ; 0
HOME-00107 ; Philips Grande Tostadora ; HOGAR ; 202.30 ; 55 ; 0
ELEC-00108 ; Samsung Impresora Deluxe 2023 ; ELECTRONICA ; 982.99 ; 47 ; 0
ROPA-00109 ; Nike Gris Chaqueta Talla S ; ROPA ; 131.33 ; 52 ; 0
FOOD-00110 ; Kraft Bio Jamón 2L ; ALIMENTOS ; 140.00 ; 91 ; 0
HOME-00111 ; Siemens Mediano Aspiradora ; HOGAR ; 165.04 ; 27 ; 0
ELEC-00112 ; LG Router Premium 2022 ; ELECTRONICA ; 846.45 ; 67 ; 0
ROPA-00113 ; Calvin Rosa Vestido Talla XXL ; ROPA ; 411.04 ; 34 ; 0
FOOD-00114 ; Coca-Cola Sin azúcar Jamón 200g ; ALIMENTOS ; 491.63 ; 80 ; 0
HOME-00115 ; Miele Automático Licuadora ; HOGAR ; 284.41 ; 1 ; 0
ELEC-00116 ; Samsung Mouse Pro 2021 ; ELECTRONICA ; 614.26 ; 87 ; 0
ROPA-00117 ; Gucci Negro Zapatos Talla XXL ; ROPA ; 136.70 ; 7 ; 0
FOOD-00118 ; Heinz Orgánico Chocolate 1L ; ALIMENTOS ; 245.86 ; 52 ; 0
HOME-00119 ; Rowenta Digital Microondas ; HOGAR ; 784.61 ; 94 ; 0
ELEC-00120 ; Sony Teclado Deluxe 2020 ; ELECTRONICA ; 825.31 ; 86 ; 0
ROPA-00121 ; Puma Azul Zapatos Talla S ; ROPA ; 635.15 ; 38 ; 0
FOOD-00122 ; Coca-Cola Económico Yogurt 500g ; ALIMENTOS ; 876.44 ; 47 ; 0
HOME-00123 ; Braun Pequeño Tostadora ; HOGAR ; 871.08 ; 0 ; 0
ELEC-00124 ; Samsung Mouse Home 2024 ; ELECTRONICA ; 855.37 ; 99 ; 0
ROPA-00125 ; Nike Negro Short Talla S ; ROPA ; 111.26 ; 1 ; 0
FOOD-00126 ; Kellogg's Gourmet Queso 250ml ; ALIMENTOS ; 878.46 ; 36 ; 0
HOME-00127 ; Bosch Pequeño Lámpara ; HOGAR ; 984.52 ; 33 ; 0
ELEC-00128 ; Samsung Mouse Max 2023 ; ELECTRONICA ; 973.21 ; 9 ; 0
ROPA-00129 ; Puma Blanco Camiseta Talla S ; ROPA ; 783.31 ; 53 ; 0
FOOD-00130 ; Kellogg's Free Galletas 250ml ; ALIMENTOS ; 115.36 ; 91 ; 0
HOME-00131 ; Rowenta Digital Licuadora ; HOGAR ; 734.22 ; 14 ; 0
ELEC-00132 ; Lenovo Teclado Pro 2022 ; ELECTRONICA ; 974.34 ; 64 ; 0
ROPA-00133 ; H&M Amarillo Gorra Talla M ; ROPA ; 887.00 ; 84 ; 0
FOOD-00134 ; General Mills Económico Jugo 2L ; ALIMENTOS ; 606.20 ; 24 ; 0
HOME-00135 ; Tefal Digital Tostadora ; HOGAR ; 651.35 ; 35 ; 0
ELEC-00136 ; Lenovo Monitor Lite 2021 ; ELECTRONICA ; 129.65 ; 41 ; 0
ROPA-00137 ; Tommy Gris Falda Talla XXL ; ROPA ; 602.41 ; 9 ; 0
FOOD-00138 ; Pepsi Sin azúcar Leche 1L ; ALIMENTOS ; 694.33 ; 34 ; 0
HOME-00139 ; Bosch Grande Microondas ; HOGAR ; 310.02 ; 65 ; 0
ELEC-00140 ; HP Impresora Lite 2020 ; ELECTRONICA ; 463.73 ; 58 ; 0
ROPA-00141 ; Calvin Amarillo Sudadera Talla XL ; ROPA ; 715.59 ; 68 ; 0
FOOD-00142 ; Kraft Orgánico Yogurt 500g ; ALIMENTOS ; 575.98 ; 64 ; 0
HOME-00143 ; Tefal Grande Lámpara ; HOGAR ; 461.59 ; 88 ; 0
ELEC-00144 ; Asus Tablet Pro 2024 ; ELECTRONICA ; 775.26 ; 93 ; 0
ROPA-00145 ; Levi's Gris Short Talla XXL ; ROPA ; 793.81 ; 25 ; 0
FOOD-00146 ; Campbell Light Cereal 1kg ; ALIMENTOS ; 784.86 ; 55 ; 0
HOME-00147 ; Bosch Manual Tostadora ; HOGAR ; 245.14 ; 84 ; 0
ELEC-00148 ; Samsung Auriculares Gaming 2023 ; ELECTRONICA ; 739.11 ; 60 ; 0
ROPA-00149 ; Calvin Gris Gorra Talla XL ; ROPA ; 931.30 ; 12 ; 0
FOOD-00150 ; Kraft Integral Galletas 500g ; ALIMENTOS ; 226.23 ; 45 ; 0
HOME-00151 ; Miele Compacto Mesa ; HOGAR ; 584.51 ; 88 ; 0
ELEC-00152 ; Samsung Monitor Lite 2022 ; ELECTRONICA ; 27.74 ; 72 ; 0
ROPA-00153 ; Calvin Morado Sudadera Talla L ; ROPA ; 479.65 ; 55 ; 0
FOOD-00154 ; General Mills Económico Chocolate 100g ; ALIMENTOS ; 601.58 ; 61 ; 0
HOME-00155 ; Tefal Compacto Cafetera ; HOGAR ; 379.92 ; 99 ; 0
ELEC-00156 ; Lenovo Auriculares Pro 2021 ; ELECTRONICA ; 406.32 ; 51 ; 0
ROPA-00157 ; Levi's Azul Vestido Talla S ; ROPA ; 294.44 ; 50 ; 0
FOOD-00158 ; Pepsi Free Cereal 1L ; ALIMENTOS ; 552.51 ; 80 ; 0
HOME-00159 ; IKEA Compacto Tostadora ; HOGAR ; 69.48 ; 12 ; 0
ELEC-00160 ; Sony Router Gaming 2020 ; ELECTRONICA ; 194.28 ; 3 ; 0
ROPA-00161 ; Prada Rojo Bufanda Talla L ; ROPA ; 427.41 ; 14 ; 0
FOOD-00162 ; Coca-Cola Bio Chocolate 250ml ; ALIMENTOS ; 719.73 ; 88 ; 0
HOME-00163 ; Siemens Portátil Ventilador ; HOGAR ; 653.61 ; 5 ; 0
ELEC-00164 ; Huawei Smartphone Standard 2024 ; ELECTRONICA ; 432.71 ; 54 ; 0
ROPA-00165 ; Gucci Gris Falda Talla L ; ROPA ; 290.72 ; 10 ; 0
FOOD-00166 ; General Mills Económico Queso 100g ; ALIMENTOS ; 570.82 ; 37 ; 0
HOME-00167 ; IKEA Mediano Silla ; HOGAR ; 382.77 ; 98 ; 0
ELEC-00168 ; HP Smartwatch Lite 2023 ; ELECTRONICA ; 765.29 ; 6 ; 0
ROPA-00169 ; Calvin Naranja Falda Talla XXL ; ROPA ; 647.65 ; 14 ; 0
FOOD-00170 ; Coca-Cola Bio Pan 250ml ; ALIMENTOS ; 767.86 ; 84 ; 0
HOME-00171 ; Philips Fijo Licuadora ; HOGAR ; 466.48 ; 69 ; 0
ELEC-00172 ; Sony Impresora Lite 2022 ; ELECTRONICA ; 907.17 ; 70 ; 0
ROPA-00173 ; Zara Morado Falda Talla S ; ROPA ; 101.23 ; 92 ; 0
FOOD-00174 ; Heinz Gourmet Galletas 2L ; ALIMENTOS ; 343.37 ; 79 ; 0
HOME-00175 ; Siemens Automático Ventilador ; HOGAR ; 718.88 ; 90 ; 0
ELEC-00176 ; Apple Tablet Standard 2021 ; ELECTRONICA ; 64.49 ; 90 ; 0
ROPA-00177 ; Calvin Verde Camiseta Talla XL ; ROPA ; 780.09 ; 84 ; 0
FOOD-00178 ; Kraft Natural Pan 500g ; ALIMENTOS ; 970.65 ; 13 ; 0
HOME-00179 ; Philips Pequeño Silla ; HOGAR ; 954.07 ; 22 ; 0
ELEC-00180 ; Asus Router Office 2020 ; ELECTRONICA ; 774.03 ; 48 ; 0
ROPA-00181 ; Zara Negro Chaqueta Talla M ; ROPA ; 548.23 ; 34 ; 0
FOOD-00182 ; Kellogg's Natural Refresco 200g ; ALIMENTOS ; 172.15 ; 55 ; 0
HOME-00183 ; Philips Manual Batidora ; HOGAR ; 431.32 ; 87 ; 0
ELEC-00184 ; LG Smartphone Ultra 2024 ; ELECTRONICA ; 120.44 ; 21 ; 0
ROPA-00185 ; Calvin Naranja Falda Talla S ; ROPA ; 792.81 ; 0 ; 0
FOOD-00186 ; Campbell Orgánico Refresco 1L ; ALIMENTOS ; 106.79 ; 44 ; 0
HOME-00187 ; Philips XL Batidora ; HOGAR ; 768.33 ; 84 ; 0
ELEC-00188 ; Lenovo Monitor Deluxe 2023 ; ELECTRONICA ; 45.89 ; 49 ; 0
ROPA-00189 ; Calvin Naranja Short Talla XS ; ROPA ; 681.67 ; 31 ; 0
FOOD-00190 ; Danone Orgánico Yogurt 2L ; ALIMENTOS ; 414.96 ; 96 ; 0
HOME-00191 ; IKEA Automático Lámpara ; HOGAR ; 167.89 ; 54 ; 0
ELEC-00192 ; Asus Laptop Ultra 2022 ; ELECTRONICA ; 404.33 ; 98 ; 0
ROPA-00193 ; Adidas Rosa Camiseta Talla L ; ROPA ; 509.81 ; 3 ; 0
FOOD-00194 ; Kraft Natural Yogurt 200g ; ALIMENTOS ; 277.03 ; 66 ; 0
HOME-00195 ; Braun XL Silla ; HOGAR ; 710.78 ; 72 ; 0
ELEC-00196 ; Sony Teclado Max 2021 ; ELECTRONICA ; 40.25 ; 56 ; 0
ROPA-00197 ; Calvin Rojo Vestido Talla S ; ROPA ; 371.43 ; 48 ; 0
FOOD-00198 ; Heinz Orgánico Leche 100g ; ALIMENTOS ; 439.16 ; 60 ; 0
HOME-00199 ; IKEA Fijo Ventilador ; HOGAR ; 225.51 ; 45 ; 0
ELEC-00200 ; Huawei Impresora Premium 2020 ; ELECTRONICA ; 729.21 ; 94 ; 0
ROPA-00201 ; Zara Amarillo Vestido Talla S ; ROPA ; 441.74 ; 20 ; 0
FOOD-00202 ; Kraft Económico Cereal 500g ; ALIMENTOS ; 167.30 ; 83 ; 0
HOME-00203 ; Braun Compacto Cafetera ; HOGAR ; 882.68 ; 45 ; 0
ELEC-00204 ; Xiaomi Smartwatch Home 2024 ; ELECTRONICA ; 155.00 ; 64 ; 0
ROPA-00205 ; Zara Naranja Bufanda Talla S ; ROPA ; 490.31 ; 79 ; 0
FOOD-00206 ; Campbell Natural Jugo 200g ; ALIMENTOS ; 178.00 ; 87 ; 0
HOME-00207 ; Bosch Compacto Ventilador ; HOGAR ; 579.45 ; 83 ; 0
ELEC-00208 ; Asus Smartwatch Standard 2023 ; ELECTRONICA ; 935.59 ; 24 ; 0
ROPA-00209 ; Puma Verde Vestido Talla M ; ROPA ; 454.91 ; 78 ; 0
FOOD-00210 ; Nestlé Natural Cereal 750g ; ALIMENTOS ; 72.03 ; 35 ; 0
HOME-00211 ; Bosch Digital Batidora ; HOGAR ; 747.13 ; 36 ; 0
ELEC-00212 ; HP Smartwatch Premium 2022 ; ELECTRONICA ; 587.88 ; 21 ; 0
ROPA-00213 ; Levi's Rosa Sudadera Talla XXL ; ROPA ; 192.80 ; 9 ; 0
FOOD-00214 ; General Mills Sin azúcar Jugo 500g ; ALIMENTOS ; 824.54 ; 4 ; 0
HOME-00215 ; Whirlpool Digital Ventilador ; HOGAR ; 112.12 ; 51 ; 0
ELEC-00216 ; LG Mouse Deluxe 2021 ; ELECTRONICA ; 828.37 ; 63 ; 0
ROPA-00217 ; Zara Blanco Bufanda Talla L ; ROPA ; 733.47 ; 21 ; 0
FOOD-00218 ; Pepsi Sin azúcar Galletas 1L ; ALIMENTOS ; 362.49 ; 98 ; 0
HOME-00219 ; IKEA XL Cafetera ; HOGAR ; 618.30 ; 14 ; 0
ELEC-00220 ; Dell Monitor Office 2020 ; ELECTRONICA ; 604.67 ; 56 ; 0
ROPA-00221 ; Puma Verde Chaqueta Talla XL ; ROPA ; 694.53 ; 18 ; 0
FOOD-00222 ; Coca-Cola Premium Pan 500g ; ALIMENTOS ; 208.26 ; 32 ; 0
HOME-00223 ; Whirlpool Digital Cafetera ; HOGAR ; 486.31 ; 41 ; 0
ELEC-00224 ; Huawei Impresora Pro 2024 ; ELECTRONICA ; 860.14 ; 98 ; 0
ROPA-00225 ; Adidas Morado Bufanda Talla M ; ROPA ; 579.98 ; 13 ; 0
FOOD-00226 ; Kraft Económico Cereal 200g ; ALIMENTOS ; 825.27 ; 16 ; 0
HOME-00227 ; Siemens Pequeño Cafetera ; HOGAR ; 122.47 ; 34 ; 0
ELEC-00228 ; Lenovo Auriculares Deluxe 2023 ; ELECTRONICA ; 771.35 ; 49 ; 0
ROPA-00229 ; Nike Gris Vestido Talla XS ; ROPA ; 207.50 ; 83 ; 0
FOOD-00230 ; Campbell Sin azúcar Cereal 2L ; ALIMENTOS ; 179.21 ; 51 ; 0
HOME-00231 ; Black&Decker Automático Ventilador ; HOGAR ; 307.98 ; 14 ; 0
ELEC-00232 ; HP Smartphone Office 2022 ; ELECTRONICA ; 95.88 ; 26 ; 0
ROPA-00233 ; Levi's Gris Vestido Talla L ; ROPA ; 499.02 ; 58 ; 0
FOOD-00234 ; Coca-Cola Natural Leche 1L ; ALIMENTOS ; 375.97 ; 7 ; 0
HOME-00235 ; Miele Fijo Mesa ; HOGAR ; 66.19 ; 18 ; 0
ELEC-00236 ; Samsung Smartwatch Gaming 2021 ; ELECTRONICA ; 735.06 ; 86 ; 0
ROPA-00237 ; Levi's Naranja Sudadera Talla XL ; ROPA ; 326.06 ; 32 ; 0
FOOD-00238 ; Pepsi Bio Chocolate 500g ; ALIMENTOS ; 754.82 ; 62 ; 0
HOME-00239 ; Miele Automático Lámpara ; HOGAR ; 863.46 ; 23 ; 0
ELEC-00240 ; HP Router Gaming 2020 ; ELECTRONICA ; 864.03 ; 89 ; 0
ROPA-00241 ; Puma Verde Camiseta Talla L ; ROPA ; 139.26 ; 91 ; 0
FOOD-00242 ; Nestlé Natural Cereal 500g ; ALIMENTOS ; 612.86 ; 99 ; 0
HOME-00243 ; IKEA Automático Ventilador ; HOGAR ; 286.42 ; 30 ; 0
ELEC-00244 ; Dell Monitor Lite 2024 ; ELECTRONICA ; 969.00 ; 70 ; 0
ROPA-00245 ; Puma Rosa Vestido Talla S ; ROPA ; 598.60 ; 86 ; 0
FOOD-00246 ; Unilever Orgánico Yogurt 200g ; ALIMENTOS ; 334.32 ; 11 ; 0
HOME-00247 ; IKEA Grande Silla ; HOGAR ; 166.23 ; 38 ; 0
ELEC-00248 ; Samsung Monitor Premium 2023 ; ELECTRONICA ; 788.85 ; 58 ; 0
ROPA-00249 ; Calvin Azul Short Talla XL ; ROPA ; 508.58 ; 94 ; 0
FOOD-00250 ; Danone Free Queso 1L ; ALIMENTOS ; 835.76 ; 48 ; 0
HOME-00251 ; Miele XL Ventilador ; HOGAR ; 907.60 ; 71 ; 0
ELEC-00252 ; HP Router Premium 2022 ; ELECTRONICA ; 66.09 ; 5 ; 0
ROPA-00253 ; Calvin Azul Bufanda Talla XS ; ROPA ; 590.00 ; 58 ; 0
FOOD-00254 ; Pepsi Gourmet Pan 1kg ; ALIMENTOS ; 495.76 ; 10 ; 0
HOME-00255 ; Tefal Manual Silla ; HOGAR ; 558.11 ; 40 ; 0
ELEC-00256 ; Sony Auriculares Premium 2021 ; ELECTRONICA ; 419.25 ; 39 ; 0
ROPA-00257 ; Prada Amarillo Gorra Talla XXL ; ROPA ; 67.55 ; 83 ; 0
FOOD-00258 ; Kraft Free Jugo 1kg ; ALIMENTOS ; 865.03 ; 77 ; 0
HOME-00259 ; Miele Pequeño Ventilador ; HOGAR ; 570.75 ; 72 ; 0
ELEC-00260 ; LG Smartphone Gaming 2020 ; ELECTRONICA ; 946.65 ; 32 ; 0
ROPA-00261 ; Zara Amarillo Short Talla L ; ROPA ; 29.84 ; 43 ; 0
FOOD-00262 ; Kraft Económico Refresco 200g ; ALIMENTOS ; 30.69 ; 14 ; 0
HOME-00263 ; Whirlpool Manual Ventilador ; HOGAR ; 660.01 ; 17 ; 0
ELEC-00264 ; Sony Smartwatch Premium 2024 ; ELECTRONICA ; 218.90 ; 53 ; 0
ROPA-00265 ; Prada Rojo Sudadera Talla M ; ROPA ; 46.12 ; 17 ; 0
FOOD-00266 ; Heinz Light Yogurt 750g ; ALIMENTOS ; 275.61 ; 3 ; 0
HOME-00267 ; IKEA Grande Cafetera ; HOGAR ; 49.60 ; 18 ; 0
ELEC-00268 ; Asus Auriculares Max 2023 ; ELECTRONICA ; 734.75 ; 56 ; 0
ROPA-00269 ; Nike Rojo Camiseta Talla XL ; ROPA ; 511.31 ; 59 ; 0
FOOD-00270 ; Nestlé Free Queso 250ml ; ALIMENTOS ; 491.41 ; 97 ; 0
HOME-00271 ; Miele XL Tostadora ; HOGAR ; 877.12 ; 23 ; 0
ELEC-00272 ; Dell Teclado Standard 2022 ; ELECTRONICA ; 282.79 ; 15 ; 0
ROPA-00273 ; Calvin Rosa Pantalón Talla XL ; ROPA ; 668.54 ; 79 ; 0
FOOD-00274 ; Pepsi Premium Refresco 500g ; ALIMENTOS ; 481.26 ; 81 ; 0
HOME-00275 ; Black&Decker Digital Cafetera ; HOGAR ; 858.64 ; 51 ; 0
ELEC-00276 ; Dell Impresora Home 2021 ; ELECTRONICA ; 438.64 ; 7 ; 0
ROPA-00277 ; H&M Negro Bufanda Talla XS ; ROPA ; 325.91 ; 81 ; 0
FOOD-00278 ; Heinz Sin azúcar Pan 200g ; ALIMENTOS ; 975.86 ; 93 ; 0
HOME-00279 ; Black&Decker Fijo Aspiradora ; HOGAR ; 183.64 ; 50 ; 0
ELEC-00280 ; HP Laptop Lite 2020 ; ELECTRONICA ; 305.10 ; 97 ; 0
